id,ctime,time,title,content,shareurl,category,author,level,is_red
2390663,1780557608,2026-06-04 15:20:08,欧盟内部有观点认为应对华“去风险” 外交部回应,【欧盟内部有观点认为应对华“去风险” 外交部回应】财联社6月4日电，外交部发言人毛宁主持例行记者会。有记者提问，日前欧委会全体会议讨论对华关系，有观点认为中欧贸易和投资状况“不可持续”，欧盟应对华“去风险”。外界预计6月中旬，欧盟将借G7和欧盟夏季峰会推出新的对华贸易限制工具。但同时我们也注意到，中国欧盟商会最新的调查报告显示，68%的欧洲企业选择坚守或扩大在华业务，近1/3的企业将进一步深化在中国的本土化布局，“去风险”似乎并未成为欧洲企业的实际选择。发言人如何看待这种现象？毛宁表示，越来越多的欧洲企业选择深耕中国、扩大在华业务，这本身就是对所谓“去风险”最有力的回应。中欧经贸合作源于共同利益，本质上是比较优势和市场竞争共同作用的结果。优势互补不是风险，利益融合也不是威胁。毛宁指出，50多年来，中欧年贸易额增长了300多倍，相互双向投资接近2600亿美元，充分说明中欧合作动力强劲，前景广阔。贸易保护主义违背经济规律，损人不利己。希望欧方客观理性看待中欧经贸关系，同中方一道压缩问题清单，做大合作蛋糕，实现互利共赢。 (北京日报),https://api3.cls.cn/share/article/2390663?os=web&sv=&app=CailianpressWeb,,北京日报,B,
2390656,1780557334,2026-06-04 15:15:34,6月4日涨停分析,【6月4日涨停分析】财联社6月4日电，今日全市场共79股涨停，连板股总数10只，19股封板未遂，封板率为81%（不含ST股、退市股）。焦点股方面，玻璃基板概念股红星发展8天6板，光通信概念股金时科技9天5板、天洋新材4连板，煤炭股大有能源4连板。,https://api3.cls.cn/share/article/2390656?os=web&sv=&app=CailianpressWeb,,,B,
2390649,1780556960,2026-06-04 15:09:20,商务部：美滥用出口管制冲击全球半导体产供链稳定,【商务部：美滥用出口管制冲击全球半导体产供链稳定】财联社6月4日电，商务部6月4日举行例行新闻发布会，新闻发言人何咏前在回答美国商务部封堵所谓芯片“监管漏洞”的有关提问时表示，近年来美方不断以国家安全为由滥用出口管制，严重损害中国企业正当权益，严重破坏国际经贸秩序，严重冲击全球半导体产业链供应链稳定，中方对此一贯反对。中方敦促美方尽快纠正错误做法，停止对华歧视性措施，维护全球产业链供应链稳定。,https://api3.cls.cn/share/article/2390649?os=web&sv=&app=CailianpressWeb,,,B,
2390639,1780556850,2026-06-04 15:07:30,收评：创业板指缩量调整跌0.83% 全市场超4100只个股下挫,【收评：创业板指缩量调整跌0.83% 全市场超4100只个股下挫】财联社6月4日电，市场全天震荡调整，三大指数集体下挫。沪深两市成交额2.75万亿，较上一个交易日缩量3726亿。盘面上，市场热点较为杂乱，全市场超4100只个股下跌。从板块来看，芯片产业链逆势走强，太极实业3天2板，中船特气20CM涨停，和远气体、大为股份、盈方微涨停。煤炭板块反复活跃，安泰集团、平煤股份双双涨停。机器人概念表现活跃，日盈电子、锋龙股份、日发精机涨停。燃气轮机概念盘中拉升，中国动力、博盈特焊、联德股份涨停。下跌方面，大消费板块盘中持续下挫，零售方向领跌，中百集团、中央商场跌停。油气股集体调整，科力股份跌超10%。截至收盘，沪指下跌26.19点，收于4057.78点，深成指下跌43.14点，收于15661.57点，创业板指下跌34.11点，收于4088.88点。,https://api3.cls.cn/share/article/2390639?os=web&sv=&app=CailianpressWeb,,,B,
2390640,1780556486,2026-06-04 15:01:26,油价今晚下调了 加满一箱油能少花20.5元,【油价今晚下调了 加满一箱油能少花20.5元】财联社6月4日电，记者今天从国家发展改革委了解到，从今天24时起国内成品油调价窗口将开启。据国家发展改革委价格监测中心监测，本轮成品油调价周期内，国际油价先跌后涨。从今天24时起，国内汽、柴油每吨分别下调525元和505元，全国平均来看，92号汽油、95号汽油和0号柴油每升分别下调0.41元、0.44元和0.43元。央视财经记者给您算了一笔账，用92号汽油加满50升油箱将少花20.5元。物流行业支出成本同样有所降低，以月跑10000公里、百公里油耗在38L的重型卡车为例，未来半个月内，单辆车的燃油成本将减少763元左右。 (央视财经),https://api3.cls.cn/share/article/2390640?os=web&sv=&app=CailianpressWeb,,央视财经,B,
2390609,1780554997,2026-06-04 14:36:37,沪深两市成交额突破2.5万亿 较上一日此时缩量超3500亿,【沪深两市成交额突破2.5万亿 较上一日此时缩量超3500亿】财联社6月4日电，据财联社盯盘数据显示，沪深两市成交额连续第30个交易日突破2.5万亿，较上一日此时缩量超3500亿，预计全天成交金额超2.7万亿。,https://api3.cls.cn/share/article/2390609?os=web&sv=&app=CailianpressWeb,,,B,
2390577,1780553183,2026-06-04 14:06:23,AI热潮助力财富跃升：全球百万富翁新增200万人 马斯克或将成为全球首位万亿富翁,【AI热潮助力财富跃升：全球百万富翁新增200万人 马斯克或将成为全球首位万亿富翁】财联社6月4日电，报告显示，全市场对AI的乐观预期带动股市上涨，成为富人们财富增长的主要引擎，助力全球百万美元富翁人数增加了近200万，达到创纪录的2530万人。资产依然高度集中在极少数超级富豪手中。超高净值人群（可投资资产在3000万美元及以上）在各个财富阶层中资产膨胀速度最快，其人口数量达到了创纪录的25万。今年全球财富的创造有望进一步增速，例如未来美股的几大IPO巨头就将成为爆出相当多富人的“黄金池”。SpaceX即将进行的IPO预计催生出多位新的百万富翁，并且几乎肯定会让埃隆·马斯克成为全球首位万亿富翁。,https://api3.cls.cn/share/article/2390577?os=web&sv=&app=CailianpressWeb,,,B,
2390564,1780552475,2026-06-04 13:54:35,财联社6月4日电，碳酸锂期货主力合约跌超5%，跌破160000元/吨,财联社6月4日电，碳酸锂期货主力合约跌超5%，跌破160000元/吨。,https://api3.cls.cn/share/article/2390564?os=web&sv=&app=CailianpressWeb,,,B,
2390547,1780551352,2026-06-04 13:35:52,沪深两市成交额突破2万亿 较上一日此时缩量超2400亿,【沪深两市成交额突破2万亿 较上一日此时缩量超2400亿】财联社6月4日电，财联社盯盘数据显示，沪深两市成交额连续第39个交易日突破2万亿，较上一日此时缩量超2400亿，预计全天成交金额超2.7万亿。,https://api3.cls.cn/share/article/2390547?os=web&sv=&app=CailianpressWeb,,,B,
2390490,1780547786,2026-06-04 12:36:26,日本央行据悉正在考虑6月加息 并可能今年晚些时候再次加息,【日本央行据悉正在考虑6月加息 并可能今年晚些时候再次加息】财联社6月4日电，据知情人士称，日本央行官员势将在本月考虑将基准利率上调0.25个百分点，并认为今年晚些时候有可能进一步加息一次。知情人士说，日本央行可能在6月16日结束的政策会议上讨论将政策利率上调至1%。官员们还认为，鉴于实际利率仍然很低以及通胀持续面临上行风险，未来仍有进一步加息的空间。鉴于中东局势高度不确定，官员们将在做出最终决定前，尽可能多地收集数据和信息，直至最后一刻。他们表示，可能会有一些反对升息的声音，但不足以左右最终决定。,https://api3.cls.cn/share/article/2390490?os=web&sv=&app=CailianpressWeb,,,B,
